Date,AAPL,IBM,MSFT,GOOG
2011-04-01,418661600,4381900,63114200,5245990
2011-04-04,460084800,3225100,35433700,4124402
2011-04-05,482731200,3612000,73651100,12140335
2011-04-06,402539200,3774800,65581400,5356603
2011-04-07,373447200,3666700,46134700,5081977
2011-04-08,377535200,3324100,39887600,3817857
2011-04-11,398946800,4139000,34286300,3730330
2011-04-12,425639200,3860600,36920400,4186835
2011-04-13,346220000,4181900,38144700,4154313
2011-04-14,301800800,4699100,55239900,10953503
2011-04-15,453605600,5287400,65080400,28192678
2011-04-18,609898800,6160700,58045100,10117381
2011-04-19,419378400,6547100,38892400,5388321
2011-04-20,700666400,10891800,61608600,6142939
2011-04-21,753810400,6158400,46892300,4958717
2011-04-25,266546000,3583800,33525100,3273825
2011-04-26,338800000,7300000,69200000,7026238
2011-04-27,356213200,5299700,52689000,4614030
2011-04-28,360959200,5087700,80200000,4014993
2011-04-29,1006345200,5587700,319317900,8488699
2011-05-02,442713600,5396200,89825600,4283395
2011-05-03,313348000,5007700,71892900,4178604
2011-05-04,389250400,6890300,73292300,4249870
2011-05-05,335969200,7332000,55600000,4010576
2011-05-06,280134400,4839400,55993000,4127614
2011-05-09,204747200,3594800,38696400,3912008
2011-05-10,282091600,4934800,120798700,4101115
2011-05-11,336000000,4663200,78600000,4695133
2011-05-12,322000000,5138500,77400000,2907457
2011-05-13,326116000,5167400,66812300,4233208
2011-05-16,449775200,4662200,91350900,5938576
2011-05-17,452334400,8773200,82882100,6631965
2011-05-18,334776400,4154300,53931100,3921042
2011-05-19,261170000,3538300,37783600,4955907
2011-05-20,337968400,4869900,45451500,4652373
2011-05-23,383600000,5144000,52692500,4617242
2011-05-24,321927200,4643600,47691800,3814243
2011-05-25,294224000,3882100,34904200,2612957
2011-05-26,222560800,5771300,78016600,4252881
2011-05-27,203599200,3277600,50251000,3504687
2011-05-31,417754400,9123400,60196300,5394745
2011-06-01,554682800,5134600,74033500,5933959
2011-06-02,338783200,3854100,51487800,4425526
2011-06-03,313250000,5230500,60697700,3510108
2011-06-06,461941200,3619700,54778700,3898759
2011-06-07,529785200,4187000,41112600,3829500
2011-06-08,333723600,3850800,42205000,3319195
2011-06-09,275088800,4299800,42878700,3390862
2011-06-10,433955200,4683300,49327200,4898091
2011-06-13,329473200,5099200,47572500,4872796
2011-06-14,334569200,7050000,42894500,4700553
2011-06-15,399196000,5225600,49410200,4162142
2011-06-16,510591200,4861100,57184100,5534668
2011-06-17,615020000,7149700,83320400,10530122
2011-06-20,640645600,3956100,54338400,6079904
2011-06-21,493382400,5387300,49708700,5551531
2011-06-22,390583200,3960500,44287300,4832245
2011-06-23,559759200,5271500,59470400,9639396
2011-06-24,439807200,4402600,101387200,7639729
2011-06-27,339813600,4446700,92044200,6915223
2011-06-28,294299600,4850000,81032100,5450554
2011-06-29,352545200,3817100,66051000,4703564
2011-06-30,322954800,5105200,52535400,4875004
2011-07-01,435313200,5181700,52906200,7300662
2011-07-05,355054000,4586500,37805300,7727255
2011-07-06,444626000,5885900,48744200,5411408
2011-07-07,399663600,5905600,51946500,7900502
2011-07-08,489633200,4399900,58320700,9576160
2011-07-11,442674400,4766500,43999800,5699885
2011-07-12,451609200,5036800,47319300,5703699
2011-07-13,391638800,4074800,40861800,5601317
2011-07-14,430533600,4613100,46382300,13348848
2011-07-15,484467200,5347100,49132400,27567143
2011-07-18,572653200,8879700,44501900,8970097
2011-07-19,819145600,13245600,86730600,5957246
